Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,0.053678
aelf,https://coinmarketcap.com/currencies/aelf/,0.096023
Status,https://coinmarketcap.com/currencies/status/,0.014733
Aeternity,https://coinmarketcap.com/currencies/aeternity/,0.167284
ABBC Coin,https://coinmarketcap.com/currencies/abbc-coin/,0.088866
Chiliz,https://coinmarketcap.com/currencies/chiliz/,0.010555
Zcoin,https://coinmarketcap.com/currencies/zcoin/,5.02
Power Ledger,https://coinmarketcap.com/currencies/power-ledger/,0.111564
Ardor,https://coinmarketcap.com/currencies/ardor/,0.047274
WAX,https://coinmarketcap.com/currencies/wax/,0.042731
Ren,https://coinmarketcap.com/currencies/ren/,0.05244
WaykiChain,https://coinmarketcap.com/currencies/waykichain/,0.230413
Quant,https://coinmarketcap.com/currencies/quant/,3.54
RIF Token,https://coinmarketcap.com/currencies/rif-token/,0.073833
iExec RLC,https://coinmarketcap.com/currencies/rlc/,0.524232
